Date,Open,High,Low,Close,Adj Close,Volume,diff_index_date,diff_index_value
11/3/93,46.90625,46.90625,46.125,46.34375,27.206383,479100,10/15/93,0.848484848
11/4/93,46.34375,46.34375,45.8125,45.84375,26.91287,130400,10/15/93,0.848484848
11/5/93,45.71875,46.0625,45.53125,46.0625,27.0413,363200,10/15/93,0.848484848
11/8/93,46.09375,46.25,45.96875,46.125,27.077969,367600,10/15/93,0.848484848
11/9/93,46.4375,46.46875,46.125,46.15625,27.09631,246900,10/15/93,0.848484848
11/10/93,46.15625,46.5,46.03125,46.5,27.298117,46500,10/15/93,0.848484848
11/11/93,46.5,46.625,46.34375,46.375,27.224747,88900,10/15/93,0.848484848
11/12/93,46.46875,46.75,46.4375,46.59375,27.353157,108200,10/15/93,0.848484848
11/15/93,46.6875,46.6875,46.4375,46.5625,27.334814,243300,11/15/93,0.794117647
11/16/93,46.65625,46.8125,46.46875,46.78125,27.463242,492600,11/15/93,0.794117647
11/17/93,46.8125,46.8125,46.40625,46.53125,27.316456,39600,11/15/93,0.794117647
11/18/93,46.46875,46.5625,46.28125,46.40625,27.243088,240800,11/15/93,0.794117647
11/19/93,46.25,46.375,46.21875,46.3125,27.188042,106000,11/15/93,0.794117647
11/22/93,46.1875,46.21875,45.875,46.03125,27.022928,165300,11/15/93,0.794117647
11/23/93,46.28125,46.3125,46.03125,46.28125,27.169708,89700,11/15/93,0.794117647
11/24/93,46.40625,46.5,46.34375,46.46875,27.279772,77200,11/15/93,0.794117647
11/26/93,46.59375,46.59375,46.46875,46.5,27.298117,1019800,11/15/93,0.794117647
11/29/93,46.625,46.71875,46.3125,46.3125,27.188042,517500,11/15/93,0.794117647
11/30/93,46.28125,46.5625,46.25,46.34375,27.206383,230000,11/15/93,0.794117647
12/1/93,46.59375,46.625,46.40625,46.40625,27.243088,379200,11/15/93,0.794117647
12/2/93,46.5,46.5625,46.40625,46.53125,27.316456,352000,11/15/93,0.794117647
12/3/93,46.5,46.71875,46.5,46.71875,27.426537,306000,11/15/93,0.794117647
12/6/93,46.78125,46.9375,46.78125,46.875,27.518259,99500,11/15/93,0.794117647
12/7/93,46.875,46.90625,46.78125,46.84375,27.499929,88800,11/15/93,0.794117647
12/8/93,46.84375,46.84375,46.78125,46.84375,27.499929,146700,11/15/93,0.794117647
12/9/93,46.84375,46.90625,46.625,46.6875,27.408192,416500,11/15/93,0.794117647
